DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
AMY'S BREAD,Manhattan,10029,40.79243143,-73.95244757,5 AVENUE,Bakery Products/Desserts
RISTORANTE SETTEPANI,Manhattan,10026,40.80443499,-73.94790572,LENOX AVENUE,Italian
MANHATTANVILLE COFFEE,Manhattan,10030,40.82131095,-73.94473104,EDGECOMBE AVENUE,Coffee/Tea
ER HOTPOT,Manhattan,10018,40.74999804,-73.9842676,WEST   36 STREET,Chinese
MCCARTHY'S,Manhattan,10036,40.75792481,-73.98355824,WEST   46 STREET,Irish
DRAGON TEA,Manhattan,10006,40.70843435,-74.0133997,GREENWICH STREET,Coffee/Tea
B AND B RESTAURANT,Manhattan,10001,40.74553868,-73.99315385,WEST   26 STREET,African
JUST SALAD,Manhattan,10016,40.74897277,-73.9757828,3 AVENUE,Salads
SAUCE PIZZERIA,Manhattan,10001,40.75060833,-73.99462228,8 AVENUE,Pizza
JOE'S PIZZA,Manhattan,10003,40.73365618,-73.98808183,EAST   14 STREET,Pizza
STARBUCKS COFFEE,Manhattan,10011,40.73895417,-74.00251518,GREENWICH AVENUE,Coffee/Tea
HANE SUSHI,Manhattan,10009,40.73489017,-73.97982208,1 AVENUE,Japanese
BAGELS & CO,Manhattan,10021,40.76927904,-73.95151106,EAST   76 STREET,Bagels/Pretzels
HOTEL STANFORD,Manhattan,10001,40.74767903,-73.98672952,WEST   32 STREET,Continental
LA GOULUE RESTAURANT,Manhattan,10065,40.76472089,-73.97020686,EAST   61 STREET,French
CHIPOTLE MEXICAN GRILL,Manhattan,10011,40.73652231,-73.99743079,6 AVENUE,Tex-Mex
DONNYBROOK,Manhattan,10002,40.7199786,-73.98461743,CLINTON STREET,Irish
GINSENG MUSEUM CAFE,Manhattan,10016,40.74699545,-73.98559643,5 AVENUE,Coffee/Tea
SHAKE SHACK,Manhattan,10038,40.71052627,-74.00935303,BROADWAY,Hamburgers
LOUIE'S CHICKEN,Manhattan,10022,40.7575149,-73.96658607,2 AVENUE,Chicken
APOLLO BAGELS,Manhattan,10003,40.72893206,-73.98485709,EAST   10 STREET,Bagels/Pretzels
RAKU JAPANESE,Manhattan,10023,40.77961529,-73.97598826,WEST   76 STREET,Japanese
TARALLUCCI E VINO,Manhattan,10024,40.78437419,-73.97369714,COLUMBUS AVENUE,Italian
16 HANDLES,Manhattan,10011,40.74291764,-74.00020209,8 AVENUE,Frozen Desserts
KUNG FU TEA,Manhattan,10013,40.71784146,-73.99973666,CANAL STREET,Coffee/Tea
SHANGHAI VILLA,Manhattan,10012,40.7313759,-74.00031752,WEST    4 STREET,Chinese
PURO SABOR A MEXICANO,Manhattan,10040,40.85339759,-73.93075834,SAINT NICHOLAS AVENUE,Mexican
"THE POOL CLUB, 4TH FLOOR PANTRY, BAR, & EVENTS KITCHEN",Manhattan,10001,40.74662798,-73.98849092,BROADWAY,American
DUNKIN #363522,Manhattan,10001,40.74828856,-73.98846537,BROADWAY,Coffee/Tea
EAT HERE NOW,Manhattan,10065,40.76525219,-73.96595764,LEXINGTON AVENUE,American
